bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
306,306,xEBGP-F_rig.pdbqt,GP,F,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xEBGP-F_flx.pdbqt,W
307,307,xEBGP-OM_rig.pdbqt,GP,OM,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xEBGP-OM_flx.pdbqt,W
308,308,xMBGP-F_rig.pdbqt,GP,F,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xMBGP-F_flx.pdbqt,W
309,309,xMBGP-OM_rig.pdbqt,GP,OM,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xMBGP-OM_flx.pdbqt,W
310,310,xSDGP-F_rig.pdbqt,GP,F,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xSDGP-F_flx.pdbqt,W
311,311,xSDGP-OM_rig.pdbqt,GP,OM,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xSDGP-OM_flx.pdbqt,W
312,312,xZAGP-F_rig.pdbqt,GP,F,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xZAGP-F_flx.pdbqt,W
313,313,xZAGP-OM_rig.pdbqt,GP,OM,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xZAGP-OM_flx.pdbqt,W
314,314,xEBGP-FW_rig.pdbqt,GP,FW,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xEBGP-FW_flx.pdbqt,W
315,315,xEBGP-S_rig.pdbqt,GP,S,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xEBGP-S_flx.pdbqt,W
316,316,xMBGP-FW_rig.pdbqt,GP,FW,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xMBGP-FW_flx.pdbqt,W
317,317,xMBGP-S_rig.pdbqt,GP,S,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xMBGP-S_flx.pdbqt,W
318,318,xSDGP-FW_rig.pdbqt,GP,FW,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xSDGP-FW_flx.pdbqt,W
319,319,xSDGP-S_rig.pdbqt,GP,S,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xSDGP-S_flx.pdbqt,W
320,320,xZAGP-FW_rig.pdbqt,GP,FW,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xZAGP-FW_flx.pdbqt,W
321,321,xZAGP-S_rig.pdbqt,GP,S,N2,10,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xZAGP-S_flx.pdbqt,W
322,322,xEBGP-FA_rig.pdbqt,GP,FA,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xEBGP-FA_flx.pdbqt,W
323,323,xEBGP-L_rig.pdbqt,GP,L,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xEBGP-L_flx.pdbqt,W
324,324,xMBGP-FA_rig.pdbqt,GP,FA,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xMBGP-FA_flx.pdbqt,W
325,325,xMBGP-L_rig.pdbqt,GP,L,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xMBGP-L_flx.pdbqt,W
326,326,xSDGP-FA_rig.pdbqt,GP,FA,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xSDGP-FA_flx.pdbqt,W
