receptor,N,meanScore,sdScore,skewScore,kurtScore,meanLEF,sdLEF,skewLEF,kurtLEF,meanNvdw,sdNvdw,skewNvdw,kurtNvdw,meanNinter,sdNinter,skewNinter,kurtNinter,experiment,batch
x3AVJbINfbB,1880,-6.65824468085106,0.45836660307773,0.0700146859133787,-2.93000393749057,-0.353133510638298,0.123899445725024,-0.00511566312527318,-2.9948856976044,38.5856382978723,0.585794114902599,-0.114354489451731,-2.88567592802172,1.39468085106383,0.605480202324406,0.122169586922895,-2.87786290931041,140,762504
x3AVJbINleA,1880,-6.84063829787233,1.14094178019721,0.433800630045185,-2.56631475780897,-0.35907819148936,0.0789428067306505,-0.00207676969202961,-2.9979237827138,35.838829787234,4.84011722367747,-7.80683446521179,4.80475790327491,1.65691489361702,0.657089674754515,-0.143883997929402,-2.85615427418139,140,762505
x3AVJbINleB,1880,-6.95824468085107,1.55865927303107,0.809590840486605,-2.19062450486645,-0.365118617021275,0.174927912547985,-0.010197211755991,-2.98980550062915,37.8845744680851,5.88614013911677,-11.5458099927387,8.54273889014622,2.00904255319149,2.99175323169596,2.98273553578496,-0.0180578504602056,140,762506
x3AVJbINy3A,1880,-5.76531914893617,1.4657090170152,0.71591049646687,-2.28427993058703,-0.30271170212766,0.0282958243585373,-0.000266813569332566,-2.99973325740116,28.8457446808511,2.15482848806132,1.5473502440866,-1.45306133997276,1.62978723404255,0.370311266096472,0.0456979860289254,-2.95431416930738,140,762507
x3AVJbINy3B,1880,-6.35670212765957,0.756903458547157,0.190916819171853,-2.80913396333182,-0.341222340425531,0.12581112443061,-0.00527474292643791,-2.99472666011732,37.5867021276596,0.586858227736212,-0.114770323615792,-2.88526020446658,1.33297872340426,1.33333338051401,-0.59243500914326,-2.40772257431717,140,762508
x3AVKa-dc,1880,-3.03622340425532,3.06459175515671,-3.12974149832043,0.128909009544305,-0.215879255319149,0.165164677299612,-0.00909070483689456,-2.99091171322535,56.6872340425532,0.312849173081493,0.0326161903850913,-2.96739248528746,3.10691489361702,1.10720940337175,-0.408528859648335,-2.59157980609625,140,762509
x3AVKaINfbA,1880,-6.47909574468084,0.621069455336805,-0.128541555889127,-2.87149263524219,-0.343642553191488,0.0113604686116271,-4.30086393254434e-05,-2.99995700280066,38.0994680851064,4.10055880431813,-5.60336998313474,2.60187952693545,1.50691489361702,0.507049765215433,-0.0856770259308993,-2.91434576354309,140,762510
x3AVKaINfbB,1880,-6.72425531914892,1.32460765527839,0.584706244429239,-2.41544928323526,-0.356928723404255,0.00307209375063428,-3.1450832120862e-06,-2.99999685575336,39.3218085106383,0.678371931426703,0.153355356838489,-2.84668543458578,1.85106382978723,0.851290266888435,-0.241500784932882,-2.75856345254262,140,762511
x3AVKaINleA,1880,-7.25345744680852,1.14684760642375,-0.438303194263529,-2.5618133912404,-0.380947872340424,0.0159521154886547,8.4800767124258e-05,-2.99991522178927,37.0186170212766,8.98377259775687,26.8955674314056,23.8884134035009,1.5031914893617,1.50359143389173,-0.753395282301033,-2.24680511543688,140,762512
x3AVKaINleB,1880,-7.13510638297872,0.164937489209637,-0.00906571305939513,-2.99093669835521,-0.376168085106382,0.0281755796083388,0.000264550708109772,-2.99973551966048,37.7542553191489,3.24660825534569,3.51255382519844,0.511619511091057,1.61436170212766,0.614525161410095,-0.125846908054728,-2.87418656631961,140,762513
x3AVKaINy3A,1880,-6.19675531914895,0.203298756861281,-0.0137731303185625,-2.98623053323525,-0.325891489361702,0.131926580885369,0.00579999774645577,-2.99420154501132,29.7287234042553,0.271348772570681,0.024536857094158,-2.97546966953372,1.24627659574468,2.75445606980089,2.52833671513447,-0.472335804285602,140,762514
x3AVKaINy3B,1880,-6.47611702127661,1.42426182214602,-0.675994055266435,-2.32418575430062,-0.347495212765957,0.0915291333265934,-0.00279178462358894,-2.99720895797108,38.6223404255319,1.62277207125608,-0.877562910874275,-2.12267051456167,1.87606382978723,0.123969145115626,0.00512142035672728,-2.99487994190433,140,762515
x3AVKb-dc,1880,6.77,5.97158839965553,-11.8834609153146,8.88030000000015,0.230476063829787,0.183524880130726,-0.0112241408737394,-2.98877884466718,58.3420212765957,14.6618786779026,71.6378352352755,68.6187800852586,2.79148936170213,0.791699948206245,-0.208874028888458,-2.79118153010413,140,762516
x3AVKbINfbA,1880,-6.49265957446808,0.307422197630084,-0.0314944230125301,-2.96851395427795,-0.344405851063829,0.0354152712718084,0.00041796927334492,-2.99958214190348,38.118085106383,4.88321379343882,7.94647804896809,4.9443643428401,1.50797872340426,0.508113878049031,-0.0860370130384465,-2.91398587218953,140,762517
x3AVKbINfbB,1880,-6.74085106382979,0.759350918064476,-0.19215348054284,-2.80789763090387,-0.357672340425531,0.0316807672822524,0.000334468015435187,-2.99966562095066,39.2186170212766,2.21920731449472,-1.6411903738933,-1.35924617096723,1.82287234042553,1.17744085039004,0.461999397502363,-2.53812349102156,140,762518
x3AVKbINleA,1880,-6.9125,0.0125033257949196,5.2097190812148e-05,-2.99994791666667,-0.362736170212765,0.0202692212546145,-0.000136910683141114,-2.99986312573412,36.2718085106383,3.27267901976916,-3.56919302315608,0.56824364342848,1.69308510638298,0.306996552496644,0.0314072714167663,-2.96860108269202,140,762519
x3AVKbINleB,1880,-6.83106382978724,1.36930039429001,-0.624828279210072,-2.3753379206277,-0.35970744680851,0.0503059342089395,-0.000843337957350139,-2.99915688636449,37.1473404255319,9.855281008484,32.3669095957721,29.3583002301184,1.74521276595745,0.745411039944171,-0.185163274284006,-2.81488597781801,140,762520
x3AVKbINy3A,1880,-5.96074468085105,0.160787449158538,0.00861524239994849,-2.9913870491927,-0.312794148936169,0.03680393851967,0.000451389865110097,-2.99954873020135,29.9351063829787,2.06544301003802,1.42164002924962,-1.57873811679487,1.80957446808511,0.190476197216289,0.0120905103906785,-2.98791270559831,140,762521
x3AVKbINy3B,1880,-6.48904255319148,0.611120000342532,-0.124456105034301,-2.8755769993964,-0.348064361702127,0.0100670394623721,3.37727754729676e-05,-2.99996623620784,38.7398936170213,3.74088866655778,-4.66350854868244,1.66226808887888,1.89521276595745,1.89571701307717,-1.1975956946089,-1.80272285725065,140,762522
x3AVLa-dc,1880,-3.19686170212766,3.30401714271904,-3.6378751869806,0.636907538290221,-0.224078723404255,0.0859441371193879,-0.00246147665907271,-2.99753917807605,56.9946808510638,4.0063848185437,5.34894994390657,2.34752716161145,3.23031914893617,1.23064649207059,-0.504695981588503,-2.49543826392031,140,762523
x3AVLaINfbA,1880,-6.62712765957447,0.773077973618067,-0.199163527600537,-2.80088944846841,-0.351085638297872,0.0379244493334625,-0.000479293763127678,-2.99952083372557,39.1308510638298,0.869380185059799,0.251873620990739,-2.74819337558473,1.74734042553191,1.25299286157639,0.523191168264625,-2.47694799683111,140,762524
x3AVLaINfbB,1880,-6.64377659574468,1.55663745864719,-0.807491881695751,-2.19272290534933,-0.352103191489362,0.037113063297835,0.000459004364765469,-2.9995411177271,39.2510638297872,11.7520621343949,46.02474262846,43.0125003772445,1.81063829787234,0.810853979211216,-0.219103096510279,-2.78095518334088,140,762525
x3AVLaINleA,1880,-6.9738829787234,0.674062274450608,0.151413031117277,-2.8486272436623,-0.36707074468085,0.00393030075094102,-5.14771837716439e-06,-2.99999485365088,37.856914893617,6.85873926903683,-15.6765971484314,12.6724272861027,1.5718085106383,1.42857147912216,0.680091209475683,-2.32008968990492,140,762526
x3AVLaINleB,1880,-6.79952127659575,0.900718308009655,-0.270359224047776,-2.72971268956543,-0.358268085106382,0.0372780007870425,0.000463093235309134,-2.99953702994417,35.5377659574468,2.46288915339156,2.02140317217191,-0.979134506563982,1.43031914893617,0.430433641195457,-0.0617412793842445,-2.93827514335295,140,762527
x3AVLaINy3A,1880,-6.08005319148936,0.180101097088578,0.0108092591071776,-2.98919361607816,-0.320284574468084,0.0392950266631515,0.00051456280039132,-2.99948557406962,29.3329787234043,5.33439763488972,-9.48274302968173,6.48022068809361,1.05744680851064,1.05772815660886,-0.372830421159317,-2.62726874905688,140,762528
