bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
905589,905604,x3OY4-A-AS.pdbqt,PR,AS,VM,165,3OY4,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905605,905620,x3OY4-B-AS.pdbqt,PR,AS,VM,165,3OY4,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905621,905636,x3PJ6-A-AS.pdbqt,PR,AS,VM,165,3PJ6,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905637,905652,x3PJ6-B-AS.pdbqt,PR,AS,VM,165,3PJ6,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905653,905668,x3PWM-A-AS.pdbqt,PR,AS,VM,165,3PWM,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905669,905684,x3PWM-B-AS.pdbqt,PR,AS,VM,165,3PWM,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905685,905700,x3PWR-A-AS.pdbqt,PR,AS,VM,165,3PWR,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905701,905716,x3PWR-B-AS.pdbqt,PR,AS,VM,165,3PWR,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905717,905732,x3QAA-A-AS.pdbqt,PR,AS,VM,165,3QAA,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905733,905748,x3QAA-B-AS.pdbqt,PR,AS,VM,165,3QAA,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905749,905764,x3QBF-A-AS.pdbqt,PR,AS,VM,165,3QBF,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905765,905780,x3QBF-B-AS.pdbqt,PR,AS,VM,165,3QBF,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905781,905796,x3QIH-A-AS.pdbqt,PR,AS,VM,165,3QIH,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905797,905812,x3QIH-B-AS.pdbqt,PR,AS,VM,165,3QIH,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905813,905828,x3QN8-A-AS.pdbqt,PR,AS,VM,165,3QN8,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905829,905844,x3QN8-B-AS.pdbqt,PR,AS,VM,165,3QN8,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905845,905860,x3QP0-A-AS.pdbqt,PR,AS,VM,165,3QP0,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905861,905876,x3QP0-B-AS.pdbqt,PR,AS,VM,165,3QP0,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905877,905892,x3QPJ-A-AS.pdbqt,PR,AS,VM,165,3QPJ,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905893,905908,x3QPJ-B-AS.pdbqt,PR,AS,VM,165,3QPJ,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905909,905924,x3QRM-A-AS.pdbqt,PR,AS,VM,165,3QRM,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905925,905940,x3QRM-B-AS.pdbqt,PR,AS,VM,165,3QRM,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905941,905956,x3QRO-A-AS.pdbqt,PR,AS,VM,165,3QRO,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905957,905972,x3QRO-B-AS.pdbqt,PR,AS,VM,165,3QRO,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
905973,905988,x3QRS-A-AS.pdbqt,PR,AS,VM,165,3QRS,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
905989,906004,x3QRS-B-AS.pdbqt,PR,AS,VM,165,3QRS,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906005,906020,x3R4B-A-AS.pdbqt,PR,AS,VM,165,3R4B,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906021,906036,x3R4B-B-AS.pdbqt,PR,AS,VM,165,3R4B,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906037,906052,x3ST5-A-AS.pdbqt,PR,AS,VM,165,3ST5,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906053,906068,x3ST5-B-AS.pdbqt,PR,AS,VM,165,3ST5,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906069,906084,x3T11-A-AS.pdbqt,PR,AS,VM,165,3T11,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906085,906100,x3T11-B-AS.pdbqt,PR,AS,VM,165,3T11,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906101,906116,x3T3C-A-AS.pdbqt,PR,AS,VM,165,3T3C,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906117,906132,x3T3C-B-AS.pdbqt,PR,AS,VM,165,3T3C,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
